地域,昼間通学者_2015,昼間通学者_2020,増減
新宿区,83025.0,70931.0,-12094.0
千代田区,69443.0,59970.0,-9473.0
渋谷区,50504.0,42833.0,-7671.0
豊島区,56061.0,48566.0,-7495.0
文京区,67476.0,62616.0,-4860.0
江戸川区,66124.0,61517.0,-4607.0
世田谷区,120823.0,116747.0,-4076.0
板橋区,55824.0,52105.0,-3719.0
足立区,58328.0,55118.0,-3210.0
港区,45898.0,42777.0,-3121.0
杉並区,55044.0,53240.0,-1804.0
練馬区,63681.0,61948.0,-1733.0
葛飾区,37943.0,36318.0,-1625.0
大田区,57941.0,56422.0,-1519.0
台東区,17319.0,16499.0,-820.0
北区,32147.0,31577.0,-570.0
荒川区,17443.0,17178.0,-265.0
目黒区,32378.0,32214.0,-164.0
中野区,31218.0,31060.0,-158.0
品川区,40170.0,40115.0,-55.0
墨田区,21302.0,21555.0,253.0
江東区,42970.0,45235.0,2265.0
中央区,10298.0,12608.0,2310.0
