地域コード,地域,昼間人口_2015,昼間人口_2020,昼間人口_増減,昼間人口_増減率,常住人口_2015,常住人口_2020,常住人口_増減
13116,豊島区,417146.0,412070.0,-5076.0,-1.2,291167.0,301599.0,10432.0
13120,練馬区,605084.0,601359.0,-3725.0,-0.6,721722.0,752608.0,30886.0
13112,世田谷区,856870.0,854838.0,-2032.0,-0.2,903346.0,943664.0,40318.0
13118,荒川区,194004.0,193640.0,-364.0,-0.2,212264.0,217475.0,5211.0
13117,北区,329753.0,332018.0,2265.0,0.7,341076.0,355213.0,14137.0
13107,墨田区,279181.0,281971.0,2790.0,1.0,256274.0,272085.0,15811.0
13106,台東区,303931.0,307176.0,3245.0,1.1,198073.0,211444.0,13371.0
13122,葛飾区,372335.0,376832.0,4497.0,1.2,442913.0,453093.0,10180.0
13105,文京区,346132.0,353648.0,7516.0,2.2,219724.0,240069.0,20345.0
13110,目黒区,293832.0,301801.0,7969.0,2.7,277622.0,288088.0,10466.0
13123,江戸川区,561479.0,571717.0,10238.0,1.8,681298.0,697932.0,16634.0
13121,足立区,608968.0,619375.0,10407.0,1.7,670122.0,695043.0,24921.0
13113,渋谷区,539109.0,551344.0,12235.0,2.3,224533.0,243883.0,19350.0
13114,中野区,313270.0,325767.0,12497.0,4.0,328215.0,344880.0,16665.0
13119,板橋区,508099.0,523358.0,15259.0,3.0,561916.0,584483.0,22567.0
13104,新宿区,775549.0,793528.0,17979.0,2.3,333560.0,349385.0,15825.0
13115,杉並区,479975.0,498067.0,18092.0,3.8,563997.0,591108.0,27111.0
13102,中央区,608603.0,633390.0,24787.0,4.1,141183.0,169179.0,27996.0
13108,江東区,608532.0,633813.0,25281.0,4.2,498109.0,524310.0,26201.0
13111,大田区,693865.0,722027.0,28162.0,4.1,717082.0,748081.0,30999.0
13103,港区,940785.0,972673.0,31888.0,3.4,243283.0,260486.0,17203.0
13109,品川区,544022.0,582156.0,38134.0,7.0,386855.0,422488.0,35633.0
13101,千代田区,853068.0,903780.0,50712.0,5.9,58406.0,66680.0,8274.0
