地域コード,地域,昼間人口／総数（人）,昼間人口／総数／うち就業者（人）,昼間人口／総数／うち通学者（人）,昼間人口／総数／うち従業も通学もしない（人）,夜間人口／総数（人）,夜間人口／総数／うち就業者（人）,夜間人口／総数／うち通学者（人）,夜間人口／総数／うち従業も通学もしない（人）
13000,東京都総数,15576130,8174125,1775247,3845585,13159388,6012536,1520111,3845585
13100,区部,11711537,6641364,1187041,2471241,8945695,4111983,950600,2471241
13101,千代田区,819247,725446,76589,10897,47115,24504,5400,10897
13102,中央区,605926,550870,9553,30674,122762,67554,9705,30674
13103,港区,886173,749814,44923,52095,205131,95443,18263,52095
13104,新宿区,750120,504305,87892,77018,326309,137299,31090,77018
13105,文京区,345423,190138,69499,48167,206626,95937,24904,48167
13106,台東区,294756,202135,17685,41571,175928,85738,15254,41571
13107,墨田区,279272,155169,23306,67255,247606,123123,23685,67255
13108,江東区,548976,330188,39412,139076,460819,234274,47168,139076
13109,品川区,527019,336262,41870,99306,365302,182746,33669,99306
13110,目黒区,293382,137807,34505,71344,268330,120268,26993,71344
13111,大田区,684451,338090,58832,201050,693373,334214,71630,201050
13112,世田谷区,812810,303885,129256,225311,877138,394885,102582,225311
13113,渋谷区,520698,372568,51011,46655,204492,91217,16168,46655
13114,中野区,289176,118550,29902,88796,314750,144850,29177,88796
13115,杉並区,480172,161932,54243,143630,549569,234671,50898,143630
13116,豊島区,422995,230593,62044,64420,284678,126847,27474,64420
13117,北区,321581,135884,34006,107351,335544,151890,31963,107351
13118,荒川区,191626,86732,18547,58145,203296,96027,20922,58145
13119,板橋区,493747,197858,57796,151160,535824,239743,57989,151160
13120,練馬区,588243,211897,71049,201630,716124,321148,89678,201630
13121,足立区,608632,242319,62607,216077,683426,301583,78136,216077
13122,葛飾区,376235,147103,40250,135028,442586,202797,50907,135028
13123,江戸川区,570877,211819,72264,194585,678967,305225,86945,194585
13200,市部,3776318,1486816,580468,1341392,4127128,1858414,559677,1341392
13201,八王子市,578039,220436,119911,187933,580053,253920,88439,187933
13202,立川市,203252,103041,22821,56787,179668,80669,21610,56787
13203,武蔵野市,153267,70210,25459,42619,138734,64578,16558,42619
13204,三鷹市,166284,69169,20655,51731,186083,86216,23406,51731
13205,青梅市,127303,52846,14004,48063,139339,60877,18009,48063
13206,府中市,246380,115949,29153,81838,255506,120881,33348,81838
13207,昭島市,100273,45154,11028,38918,112297,54250,13956,38918
13208,調布市,195986,75888,28254,66580,223593,103489,28259,66580
13209,町田市,388575,136380,68758,145224,426987,184278,59272,145224
13210,小金井市,102683,32663,21268,36487,118852,53289,16811,36487
13211,小平市,166106,60090,28837,59961,187035,81400,28456,59961
13212,日野市,158452,61320,24409,57363,180052,81901,25428,57363
13213,東村山市,125378,40206,15735,57007,153557,64313,19807,57007
13214,国分寺市,100798,35913,16035,38395,120650,55100,16700,38395
13215,国立市,73597,26588,15812,22993,75510,33455,10858,22993
13218,福生市,51582,20930,5565,18399,59796,27693,7016,18399
13219,狛江市,58983,19551,6363,25465,78751,36439,9243,25465
13220,東大和市,65959,23069,8753,29860,83068,38096,10835,29860
13221,清瀬市,61802,20437,9519,28291,74104,32369,9890,28291
13222,東久留米市,93335,34583,12059,43796,116546,54360,15493,43796
13223,武蔵村山市,64590,27229,8954,24193,70053,32068,9578,24193
13224,多摩市,145569,64174,19918,45194,147648,66741,19429,45194
13225,稲城市,67517,24429,9962,26219,84835,39622,12087,26219
13227,羽村市,53221,25211,5978,19344,57032,27379,7621,19344
13228,あきる野市,70137,26560,9809,26906,80868,36261,10839,26906
13229,西東京市,157250,54790,21449,61826,196511,88770,26729,61826
13300,郡部,60275,30805,5074,22875,58750,27187,7167,22875
13303,瑞穂町,36272,19995,3488,11589,33497,16107,4601,11589
13305,日の出町,15959,7382,1161,7124,16650,7369,1865,7124
13307,檜原村,2297,966,132,1198,2558,1154,205,1198
13308,奥多摩町,5747,2462,293,2964,6045,2557,496,2964
13350,島部,28000,15140,2664,10077,27815,14952,2667,10077
13361,大島町,8490,4169,942,3375,8461,4144,938,3375
13362,利島村,348,253,19,71,341,246,19,71
13363,新島村,2890,1469,253,1158,2883,1458,257,1158
13364,神津島村,1895,1089,211,592,1889,1080,214,592
13381,三宅村,2711,1534,147,962,2676,1499,147,962
13382,御蔵島村,355,241,30,78,348,234,30,78
13401,八丈町,8258,4258,776,3206,8231,4231,776,3206
13402,青ヶ島村,209,146,26,35,201,139,25,35
13421,小笠原村,2844,1981,260,600,2785,1921,261,600
,,,,,,,,,
,,,,,,,,,
平成22年国勢調査  東京都の昼間人口,,,,,,,,,
第2表　地域、昼間・夜間、就業者（15歳以上）・通学者状態別人口,,,,,,,,,
