地域,産業分類並び順,産業名,就業者_2015,就業者_2020,増減
台東区,3,農業，林業,92.0,89.0,-3.0
台東区,5,漁業,1.0,3.0,2.0
台東区,7,鉱業，採石業，砂利採取業,21.0,16.0,-5.0
台東区,8,建設業,9876.0,10539.0,663.0
台東区,9,製造業,28008.0,24862.0,-3146.0
台東区,11,電気・ガス・熱供給・水道業,560.0,980.0,420.0
台東区,12,情報通信業,12314.0,15784.0,3470.0
台東区,13,運輸業，郵便業,6277.0,6632.0,355.0
台東区,14,卸売業，小売業,44857.0,43537.0,-1320.0
台東区,15,金融業，保険業,5181.0,5436.0,255.0
台東区,16,不動産業，物品賃貸業,5887.0,6510.0,623.0
台東区,17,学術研究，専門・技術サービス業,10320.0,12042.0,1722.0
台東区,18,宿泊業，飲食サービス業,13523.0,13584.0,61.0
台東区,19,生活関連サービス業，娯楽業,4924.0,5279.0,355.0
台東区,20,教育，学習支援業,4907.0,5470.0,563.0
台東区,21,医療，福祉,8090.0,9620.0,1530.0
台東区,22,複合サービス事業,552.0,528.0,-24.0
台東区,23,サービス業（他に分類されないもの）,12599.0,14735.0,2136.0
台東区,24,公務（他に分類されるものを除く）,3506.0,3589.0,83.0
新宿区,3,農業，林業,187.0,203.0,16.0
新宿区,5,漁業,6.0,11.0,5.0
新宿区,7,鉱業，採石業，砂利採取業,29.0,16.0,-13.0
新宿区,8,建設業,26369.0,26456.0,87.0
新宿区,9,製造業,35745.0,30796.0,-4949.0
新宿区,11,電気・ガス・熱供給・水道業,3307.0,3223.0,-84.0
新宿区,12,情報通信業,68840.0,78650.0,9810.0
新宿区,13,運輸業，郵便業,9313.0,10130.0,817.0
新宿区,14,卸売業，小売業,67547.0,68777.0,1230.0
新宿区,15,金融業，保険業,26905.0,28012.0,1107.0
新宿区,16,不動産業，物品賃貸業,25324.0,27566.0,2242.0
新宿区,17,学術研究，専門・技術サービス業,37027.0,40125.0,3098.0
新宿区,18,宿泊業，飲食サービス業,31940.0,30225.0,-1715.0
新宿区,19,生活関連サービス業，娯楽業,18804.0,19278.0,474.0
新宿区,20,教育，学習支援業,24191.0,26345.0,2154.0
新宿区,21,医療，福祉,27862.0,32253.0,4391.0
新宿区,22,複合サービス事業,773.0,740.0,-33.0
新宿区,23,サービス業（他に分類されないもの）,48299.0,58359.0,10060.0
新宿区,24,公務（他に分類されるものを除く）,23347.0,25748.0,2401.0
渋谷区,3,農業，林業,132.0,168.0,36.0
渋谷区,5,漁業,4.0,4.0,0.0
渋谷区,7,鉱業，採石業，砂利採取業,22.0,9.0,-13.0
渋谷区,8,建設業,14280.0,14702.0,422.0
渋谷区,9,製造業,24988.0,21101.0,-3887.0
渋谷区,11,電気・ガス・熱供給・水道業,296.0,369.0,73.0
渋谷区,12,情報通信業,67866.0,72959.0,5093.0
渋谷区,13,運輸業，郵便業,8806.0,8842.0,36.0
渋谷区,14,卸売業，小売業,60371.0,60332.0,-39.0
渋谷区,15,金融業，保険業,13729.0,14377.0,648.0
渋谷区,16,不動産業，物品賃貸業,18270.0,20846.0,2576.0
渋谷区,17,学術研究，専門・技術サービス業,31621.0,35314.0,3693.0
渋谷区,18,宿泊業，飲食サービス業,22429.0,22426.0,-3.0
渋谷区,19,生活関連サービス業，娯楽業,19880.0,21660.0,1780.0
渋谷区,20,教育，学習支援業,15142.0,15724.0,582.0
渋谷区,21,医療，福祉,14720.0,17856.0,3136.0
渋谷区,22,複合サービス事業,384.0,416.0,32.0
渋谷区,23,サービス業（他に分類されないもの）,31360.0,35595.0,4235.0
渋谷区,24,公務（他に分類されるものを除く）,3927.0,4416.0,489.0
豊島区,3,農業，林業,147.0,156.0,9.0
豊島区,5,漁業,1.0,4.0,3.0
豊島区,7,鉱業，採石業，砂利採取業,9.0,2.0,-7.0
豊島区,8,建設業,10382.0,10333.0,-49.0
豊島区,9,製造業,14813.0,11423.0,-3390.0
豊島区,11,電気・ガス・熱供給・水道業,461.0,425.0,-36.0
豊島区,12,情報通信業,19170.0,21490.0,2320.0
豊島区,13,運輸業，郵便業,4816.0,5006.0,190.0
豊島区,14,卸売業，小売業,36892.0,36439.0,-453.0
豊島区,15,金融業，保険業,10192.0,10536.0,344.0
豊島区,16,不動産業，物品賃貸業,8743.0,9381.0,638.0
豊島区,17,学術研究，専門・技術サービス業,13731.0,14868.0,1137.0
豊島区,18,宿泊業，飲食サービス業,16443.0,15683.0,-760.0
豊島区,19,生活関連サービス業，娯楽業,9240.0,9255.0,15.0
豊島区,20,教育，学習支援業,12022.0,13072.0,1050.0
豊島区,21,医療，福祉,12471.0,14408.0,1937.0
豊島区,22,複合サービス事業,320.0,324.0,4.0
豊島区,23,サービス業（他に分類されないもの）,18224.0,22992.0,4768.0
豊島区,24,公務（他に分類されるものを除く）,3785.0,3943.0,158.0
