地域コード,地域,階層,面積_平方km
13000,東京都総数,0,2194.03
13100,区部,1,627.53
13101,千代田区,2,11.66
13102,中央区,2,10.21
13103,港区,2,20.37
13104,新宿区,2,18.22
13105,文京区,2,11.29
13106,台東区,2,10.11
13107,墨田区,2,13.77
13108,江東区,2,42.99
13109,品川区,2,22.84
13110,目黒区,2,14.67
13111,大田区,2,61.86
13112,世田谷区,2,58.05
13113,渋谷区,2,15.11
13114,中野区,2,15.59
13115,杉並区,2,34.06
13116,豊島区,2,13.01
13117,北区,2,20.61
13118,荒川区,2,10.16
13119,板橋区,2,32.22
13120,練馬区,2,48.08
13121,足立区,2,53.25
13122,葛飾区,2,34.8
13123,江戸川区,2,49.9
13200,市部,1,783.95
13201,八王子市,2,186.38
13202,立川市,2,24.36
13203,武蔵野市,2,10.98
13204,三鷹市,2,16.42
13205,青梅市,2,103.31
13206,府中市,2,29.43
13207,昭島市,2,17.34
13208,調布市,2,21.58
13209,町田市,2,71.55
13210,小金井市,2,11.3
13211,小平市,2,20.51
13212,日野市,2,27.55
13213,東村山市,2,17.14
13214,国分寺市,2,11.46
13215,国立市,2,8.15
13218,福生市,2,10.16
13219,狛江市,2,6.39
13220,東大和市,2,13.42
13221,清瀬市,2,10.23
13222,東久留米市,2,12.88
13223,武蔵村山市,2,15.32
13224,多摩市,2,21.01
13225,稲城市,2,17.97
13227,羽村市,2,9.9
13228,あきる野市,2,73.47
13229,西東京市,2,15.75
13300,郡部,1,375.86
13303,瑞穂町,2,16.85
13305,日の出町,2,28.07
13307,檜原村,2,105.41
13308,奥多摩町,2,225.53
13350,島部,1,406.69
13361,大島町,2,90.76
13362,利島村,2,4.12
13363,新島村,2,27.54
13364,神津島村,2,18.58
13381,三宅村,2,55.26
13382,御蔵島村,2,20.54
13401,八丈町,2,72.23
13402,青ヶ島村,2,5.96
13421,小笠原村,2,106.88
